x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.426000E-03,-211.480E-06,-180.364E-06,+325.611236E-03,-31.332E-06
-1.424000E-03,-307.072E-06,-179.109E-06,+340.372410E-03,-128.195E-06
-1.422000E-03,-290.471E-06,-172.397E-06,+353.663733E-03,-118.307E-06
-1.420000E-03,-309.226E-06,-190.894E-06,+365.108042E-03,-118.582E-06
-1.418000E-03,-230.181E-06,-181.796E-06,+374.303886E-03,-48.658E-06
-1.416000E-03,-112.921E-06,-177.377E-06,+383.462321E-03,+64.093E-06
-1.414000E-03,-160.837E-06,-192.521E-06,+393.776537E-03,+31.283E-06
-1.412000E-03,-198.300E-06,-207.102E-06,+406.176322E-03,+8.413E-06
-1.410000E-03,-308.244E-06,-216.517E-06,+420.636268E-03,-91.999E-06
-1.408000E-03,-256.340E-06,-213.001E-06,+435.422706E-03,-43.599E-06
-1.406000E-03,-210.045E-06,-196.870E-06,+448.336998E-03,-13.429E-06
-1.404000E-03,-234.004E-06,-205.389E-06,+460.296658E-03,-28.886E-06
-1.402000E-03,-305.981E-06,-189.205E-06,+471.515400E-03,-116.991E-06
-1.400000E-03,-160.005E-06,-176.699E-06,+483.575706E-03,+16.281E-06
-1.398000E-03,-163.126E-06,-183.278E-06,+496.214047E-03,+19.775E-06
-1.396000E-03,-148.258E-06,-179.235E-06,+509.166313E-03,+30.625E-06
-1.394000E-03,-216.877E-06,-180.439E-06,+521.967972E-03,-36.662E-06
-1.392000E-03,-215.366E-06,-184.080E-06,+534.643564E-03,-31.525E-06
-1.390000E-03,-166.773E-06,-186.366E-06,+547.080901E-03,+19.172E-06
-1.388000E-03,-130.628E-06,-184.030E-06,+559.706387E-03,+52.957E-06
-1.386000E-03,-93.014E-06,-181.216E-06,+572.671364E-03,+87.767E-06
-1.384000E-03,-124.008E-06,-187.097E-06,+585.309560E-03,+62.707E-06
-1.382000E-03,-114.850E-06,-194.808E-06,+596.967559E-03,+79.615E-06
